Tags,Metastasis,ENSG00000227217,FCRL2,LEFTY2,TMEM217,ENSG00000247699,ENSG00000236911,TNFRSF13B,AC108938.5,CLECL1,FGD2,CD300LB,SIGLEC11,DNASE1L3,KCNT1,SLC9A5,ITGAD,ENSG00000242797,PATL2,FCRL3,UMODL1-AS1,ENSG00000216863,ENSG00000227467,ENSG00000267432,BFSP2,ENSG00000233665,KMO,CD68,DOK3,TM4SF19,FGR,LILRA1,KLRC4-KLRK1,FCRL5,TLX1NB,ENSG00000250456,CD160,ENSG00000226239,ENSG00000223991,ENSG00000272789,CD5L,ENSG00000261644,ENSG00000205015,CD36,ENSG00000231236,HIST2H3C,ENSG00000253745,ENSG00000237484,ENSG00000236054,CFP,KLRF1,TRG-AS1,CRHBP,KRT72,KLRD1,ENSG00000264345,CHRNA4,ADRA1A,CD22,PARVG,ENSG00000248115,ENSG00000262319,ATP4B,ENSG00000237928,ENSG00000253988,NKX2-5,IDI2-AS1,C11orf21,ENSG00000241560,ENSG00000231808,TEX101,LINC00528,ENSG00000228835,ADAD2,TLR10,ENSG00000225411,PARP15,FAM9C,ATG16L2,ENSG00000253782,OR5AK2,GDF7,HBA2,ENSG00000256609,TRAPPC3L,HMOX1,LMAN1L,LRTM1,FGFBP2,AIF1L,ENSG00000269553,NR5A1,FCRL6,NCR1,CCM2L,H3F3C,CR1,ENSG00000231749,BMF,SCN11A,ENSG00000249988,ENSG00000242258,KIR3DX1,SPIC,KLHL14,CASP16,ENSG00000233024,P2RX5,ENSG00000261924,GPR182,ENSG00000257950,STAB2,PTGDR,MMP12,ENSG00000261606,IL34,TBX21
TCGA-IB-AAUQ-01,1,0,0.043012631,0.102321332,0.874364921,0,0.018057594,0.015320978,0.203833126,0.126413649,0.885360253,0.239953555,0.059994691,0.138219752,0.060660874,0.301104295,0.117138968,0.039100987,0.28500038,0.024956931,0,0.004853603,0.088799139,0.044516665,0.026275107,0.125836826,0.306432447,0.658438109,2.335328936,0.343693349,2.356250894,0.19334513,0.052458982,0.624084051,0,0,0.102725017,0.094566892,0.011596902,0.702211499,0.033218326,0.189180774,0,1.096930537,0.031342378,0,0,0.032830667,0,0.279316565,0.453245604,0.204125139,0.232848259,0,0.287510427,0.048217617,0.002553496,0.009300525,0.684394239,1.863040502,0.011237494,0.020347726,0.018276032,0.162312587,0.091257504,0.07792188,0.063937468,0.136006064,0.053454027,0,0.017028639,0.239212958,0,0.08599649,0.090283687,0.009449179,0.488883037,0.004642324,3.007610958,0,0,0.192474797,0.921316998,0,0.029591661,15.86453843,0,0.017168394,0.391604202,2.514704803,0.062516635,0.01589406,0.142540737,0.057463785,1.461178329,0.154369364,0.120970916,0,3.200261781,0.038834493,0.083805042,0.137790004,0.00530629,0,0.032685981,0.118996804,0.035900642,0.38293304,0.025856654,0.055161737,0.055264494,0.096622125,0.233123357,3.38120253,0.004003347,2.216498878,0.364122329
TCGA-FB-AAQ6-01,0,0.056653356,0.297155702,0,0.078449478,0.029718508,0,0.048386754,0.120702435,0.024952495,0.688477307,0.126303659,0.067669783,0.040924311,0.01842109,0.301133655,0.009735489,0.06174442,0.468046257,0.262730156,0,0.007664331,0.017527855,0,0.041491057,0.022078789,0.079444279,0.961269511,0.623527709,0.022613609,1.05071265,0.082199264,0.01656761,0.121025327,0.022709278,0,0.075699498,0.042665916,0,0.604834423,0.017485034,0.112025854,0,0.836363725,0.016497597,0,0,0.017280984,0,0.121997852,1.158785951,0.093580919,0.045961374,0.039873021,0.076490494,0,0,0.007343236,1.324763171,0.639981341,0.008872571,0,0,0.069902188,0,0.020507757,0.06730916,0.306810508,0,0,0.053779892,0.099405658,0,0.041783745,0.112016999,0.014921211,0.179352572,0,1.789094188,0,0,0.039643984,4.414726025,0,0.015576077,4.017559216,0,0,0.06870919,0.875235018,0,0.012549165,0.080387952,0.068055854,1.244972286,0.121882433,0.014982379,0,2.727806581,0.011149745,0,0.059341194,0.033516678,0,0.034409651,0.125272007,0.028345376,0.256224607,0.040830277,0.02488742,0.050906471,0.013870557,0.042476008,2.589427203,0.006321691,2.057737176,0.131425384
TCGA-3A-A9IN-01,0,0,0.021868564,0.110981132,0.226314466,0,0,0.031158083,0.08290658,0.218522989,0.842068113,0.666920442,0.083664314,1.06816402,0.092998431,0.910363408,0.040121948,0.111326868,0.245751136,0.087974643,0,0.007896569,0.388267869,0.004023688,0.042748288,0.045495607,0.178585179,0.19201578,3.037735376,0.16309181,3.81439873,0.235922155,0.034139258,0.051658341,0.011698699,0,0.250692711,0.736308999,0.018867581,2.466681583,0,0.115420378,0,6.469360661,0,0,0,0.022255774,0.096815051,0.488274944,0.351146651,0.198189551,0.805019045,0,0.280913286,0.039223828,0.020772055,0.045394471,0.445390102,1.083621691,0,0.016552367,0,0.216060935,0.965064119,0.359195858,0.052011534,0.221275075,0.043483517,0,0.05540949,0.15362666,0.013318627,0.032287384,0.283282169,0.092240052,0.506156187,0.003776415,5.342506609,0,0,0.399375738,28.94498566,0,0,5.528260152,0,0,0.371653616,6.429184398,0,0.025858842,0.165647615,0.128549725,5.438633178,0.104646353,0.023154546,0.029594969,2.473369484,0.094772671,0,0.784621099,0.004316534,0,0.146240763,0.019360186,0.014602138,0.850043075,0.031550614,0.147438858,0.816705861,0.600215788,0.700209347,0.188877174,0,4.210457498,0.245426523
TCGA-HZ-8002-01,0,0,0.108309652,0.508151461,0.412824196,0,0.011367659,0.217010209,0.213862515,0.775907121,2.119966078,0.811926678,0.275166848,0.777673534,0.055812318,0.312760608,0.190175702,0.14768967,0.276297728,0.439906492,0.007996121,0.018332709,0.195653649,0.01556902,0.041351919,0.035207598,0.405966515,0.735153615,2.432480936,0.288483527,7.042038902,0.683476994,0.184934969,0.322570937,0,0,0.155202467,0.127568512,0.007300509,0.301403069,0.020911679,0.238187051,0,10.58493012,0.026307636,0.031013939,0,0.089559769,0,1.040051358,0.597830594,0.746136797,0.268735836,0.047687171,0.410188033,0.273186611,0.001607483,0.108315439,1.434285153,3.055675564,0.049519777,0.038428046,0.034515513,0.538764118,0.086172958,0.065404754,0.013416688,0.562638203,0.10936414,0.041153111,0,0.190218825,0,0.029150538,0.844414611,0.029742346,1.175094324,0.081828515,2.173487938,0,0,0.309064129,1.519972858,0.031644537,0.049676298,17.63933574,0,0,0.136957554,3.72504388,0.236133714,0.010005666,0.583261767,0.072349474,2.183803292,0.226750918,0.55099583,0.022902601,7.75996424,0.104456138,0.052757147,0.701820724,0.003340428,0.060493619,0.171471297,0.054934842,0.016950192,0.670078727,0.012208006,0.183549316,0.139160936,0.176947745,0.699914966,3.361818303,0,3.496005642,0.759710994
TCGA-HZ-A77O-01,0,0,0.01225777,0.077758948,0.619167421,0,0,0.029107888,0.167811246,0.144101804,1.19726838,0.341910668,0.390796099,0.131299875,0.012411308,0.1678041,0.042167174,0.044572107,0.233912475,0.028448976,0,0.003688488,0.101224165,0.045107167,0.01996773,0,0.121650019,0.689201383,1.547530125,0.087063087,3.164833447,0.220398527,0.007973225,0.139785364,0.010928927,0,0.020817527,0.051332837,0,0.048513146,0,0.107825741,0,1.225898193,0.007939531,0,0,0,0,0.212266219,0.590474296,0.105084409,0.029492116,0.009594522,0.036811343,0.036642908,0.001940526,0.007067921,0.218108301,1.198548219,0.012809876,0.015463225,0.041666533,0.145776346,0,0.049347183,0.016196395,0.093514029,0.020311155,0,0,0.066975094,0.012442264,0.075407202,0.088214087,0.00718089,0.120089198,0,1.268728281,0,0,0.110233175,2.19703345,0.03820074,0,8.558808302,0,0.013047096,0.066133121,0.932122568,0,0.012078668,0.116061028,0.01091738,0.663056757,0.273729806,0.176653017,0.006911906,3.809301775,0.010731715,0,0.180868451,0.008065015,0,0.037259496,0.084402685,0.00682066,0.064120717,0.014737295,0.059885831,0.076996648,0.162431291,0.040883482,11.0280685,0,1.999097931,0.166028542
TCGA-F2-A8YN-01,0,0,0.056460491,0.073469813,0.136443939,0.015202404,0,0.024752084,0.061744931,0.26805169,1.013351569,0.298822259,0.048462754,0.111651711,0.026385093,0.25538861,0.099603148,0,0.179570634,0.063839402,0,0.003920663,0.04483158,0.023973235,0.021224613,0,0.129307366,1.445096522,1.248514402,0.208222504,3.022582807,0.162188079,0.016950212,0.051296944,0,0,0.055319754,0.032738412,0,0.283617625,0.008944411,0.076408606,0,0.842647553,0.016878582,0,0,0.00884003,0.048068871,0.292835648,0.57533861,0.212760041,0,0.020396912,0.179233586,0,0.002062674,0.007512816,0.385206562,1.507472237,0.009077469,0,0.044289263,0.059597054,0.073716356,0,0.034431778,0.130789916,0,0,0.013755463,0.152551904,0,0.016030752,0.109394583,0,0.199450465,0,3.449227412,0,0,0.022533054,2.899911899,0.121815938,0.031871562,12.69637803,0,0,0.193313773,1.25196777,0.151499822,0,0.049346629,0.034813747,0.925571971,0.24939422,0.256750244,0.124898683,4.242662543,0.017110846,0.033848188,0.182134747,0.008572673,0,0.026403214,0,0.028999966,0.141556516,0.005221648,0.025462155,0.052082073,0.026016604,0.181070509,1.183946049,0,3.669443744,0.117652884
TCGA-FB-A4P6-01,0,0,0.135712935,0.013665313,0.728510491,0,0,0.064454087,0.377712336,0.455838648,2.716718611,0.769115993,0.309052282,0.809917255,0.072912935,0.530816353,0.081514787,0.187993845,0.685127431,0.464963439,0.015267366,0.017501747,0.053367232,0.035671986,0.078955144,0.084029382,0.164921442,0.776494447,2.827350797,0.240981578,9.550299703,0.518422457,0.264828713,0.065801252,0,0,0.246946082,0.162381668,0,1.266062419,0,0.369510075,0,5.315948778,0.075345593,0,0,0.032884738,0,1.257208835,0.622617709,0.609426656,0.116615875,0.075876114,0.257307393,0,0,0.03912654,1.167597749,3.712077567,0.013507202,0.061143714,0.043934717,0.390191782,0.109689361,0.046830129,0.179319756,0.48264364,0.016062619,0,0,0.469125149,0,0.071560902,0.558096974,0.056788446,1.341448905,0.005579964,4.916201569,0,0,0.402348094,1.680194986,0,0.023712318,17.15240595,0,0,0.392249157,2.294720486,0.075143517,0.009552142,0.416088585,0.017267528,2.072183407,0.092774162,0.276553047,0.032796752,8.083342727,0.072138947,0,0.391466224,0.006378035,0,0.065479627,0.286062687,0.043151722,0.608501078,0.015539543,0.170493693,0.154995433,0.841117108,0.495753962,3.279208531,0.019247714,2.590987488,0.837818589
TCGA-S4-A8RM-01,0,0.02536643,0.140653797,0.06430687,0.133477285,0.106451234,0,0.037913881,0.162132843,0.256965919,4.25518313,0.289830118,0.036358817,0.647440261,0.039590434,0.439978136,0.056667605,0.26263647,0.92693009,0.185278145,0.008980735,0,0.015696126,0.006994454,0.055732621,0.029657204,0.122881712,0.931083573,0.749806634,0.060751198,2.31906419,0.147218244,0.051926805,0.075864398,0.254200875,0.008676784,0.121051084,0.391623408,0,1.8505585,0,0.234077007,0,0.760365958,0,0.011610963,0,0.003868763,0.04207386,0.5210318,0.32046257,0.474874316,0.08917617,0.017853068,0.116002884,0,0.001805423,0.006575839,0.284092487,1.068455379,0.011918029,0,0.012921878,0.020865713,0.12904533,0.045911543,0.180825274,0.508283094,0.085036751,0.046220563,0.108359291,0.124624333,0,0.018708591,0.287253619,0.006680943,3.055072617,0.006564614,2.445586465,0,0.019304974,0.855969362,1.729599382,0,0,7.467244239,0.02808338,0.012138734,0.32302627,0.870855067,0.088403467,0.005618864,0.338339366,0.030471877,2.541898696,0.291053989,0.095593719,0,1.231960016,0.017472969,0,0.531398089,0.003751757,0.067942594,0.019258568,0.179488954,0.025383174,0.11472407,0.027422516,0.033429883,0.048842729,0.080736694,0.285278252,2.667671336,0.014152623,2.720989842,0.389851175
TCGA-IB-A5SO-01,0,0.064858701,1.581092187,0.267189648,0.245485167,0.005670461,0.010881562,1.777250202,0.179127767,1.152180964,2.511255064,1.174848598,0.113623668,0.681950367,0.111069227,0.302410624,0.390093251,0.176717812,0.755665265,2.102970789,0,0.076044695,0.140465415,0.047690452,0.102917494,0.21063794,0.449240493,1.025630675,4.024674542,0.535035896,5.920114514,0.295757094,0.05057911,0.802293268,0.008666119,0,0.136185305,0.0325636,0.013976658,0.346217572,0.006672488,0.356252864,0,2.115891947,0,0,0.027086995,0.056054274,0,0.515694705,0.429199879,0.472185999,0.157854462,0.038039999,0.165721856,0.406785185,0.00307749,0.039231677,4.621743191,3.905693653,0.016929372,0.067438814,0,0.222295601,0.247464238,0.031303977,0.141272687,0.550287229,0.080528903,0,0.02052302,0.386930194,0.069062867,0.047835461,1.20468718,0.039858729,2.737719483,0.002797479,4.630832455,0,0,0.134476412,0.45946631,0,0.059440086,21.06202481,0,0,0.131101054,1.988535045,1.092508782,0.004788905,0.239280284,0.121197488,1.761021114,0.356589905,0.896209777,0.021923253,5.848642571,0.08084253,0.025250588,0.679358294,0.012790347,0.028953413,0.367671225,0.009561045,0.010816919,1.650496561,0.011685975,0.128213867,0.086031598,0.179967532,0.280961705,7.266874049,0.004824858,3.163040428,0.883954122
TCGA-IB-7885-01,0,0,0.244580095,0.107002028,0.87280086,0.004920201,0.01888364,0.30842037,0.155427334,0.561834913,1.598578942,0.888711292,0.188217456,0.21229698,0.031717905,0.152191194,0.083814078,0.040889664,0.387449065,0.330582114,0.006641467,0.010151262,0.145095721,0.062070778,0.054954128,0.087728827,0.605029147,2.117641891,2.737105427,0.381879102,7.342996236,0.248848882,0.038401105,0.853002545,0,0,0.064454508,0.063573982,0.006063702,0.267030623,0,0.148376146,0,5.826923666,0.005462689,0.042932913,0,0.068665017,0,1.006791813,0.394982796,0.433811614,0.126822874,0.006601384,0.116016551,0.075635004,0,0.012157473,1.528369866,2.270238458,0.014689443,0.021278534,0.009556035,0.185168278,0.047716043,0.01358107,0.066862292,0.193023267,0.027949643,0,0.026711423,0.243572724,0.03424294,0.041506341,0.505787788,0.014822148,0.766870539,0.007282032,2.499983952,0,0,0.109391071,6.196061905,0.026283513,0.030945333,24.02218032,0,0,0.557399722,2.017923054,0.130752926,0,0.372653181,0.037557794,1.566495358,0.215241335,0.333625242,0,6.808177858,0.055378608,0,0.38643181,0.00832354,0.025122581,0.173754451,0.045628118,0.00938573,0.437780455,0.006759867,0.115370229,0.072240715,0.044397291,0.412563633,23.15012296,0.00209324,1.808465791,0.418857044
